# Compiled from https://de.wikipedia.org/wiki/Liste_der_Flugzeugtypencodes
100,F100,Fokker 100
141,B461,BAe 146-100
142,B462,BAe 146-200
143,B463,BAe 146-300
146,,BAe 146
14F,,BAe 146
14X,B461,BAe 146
14Y,B462,BAe 146
14Z,B463,BAe 146
310,A310,Airbus A310
312,A310,Airbus A310-200
313,A310,Airbus A310-300
318,A318,Airbus A318
319,A319,Airbus A319
,A19N,Airbus A319neo
31F,A310,Airbus A310
31X,A310,Airbus A310
31Y,A310,Airbus A310
320,A320,Airbus A320
,A20N,Airbus A320neo
321,A321,Airbus A321
32A,A320,Airbus A320
32B,A321,Airbus A321
,A21N,Airbus A321neo
32S,,
330,A330,Airbus A330
332,A332,Airbus A330-200
333,A333,Airbus A330-300
338,A338,Airbus A330-800neo
339,A339,Airbus A330-900neo
340,A340,Airbus A340
342,A342,Airbus A340-200
343,A343,Airbus A340-300
345,A345,Airbus A340-500
346,A346,Airbus A340-600
350,A350,Airbus A350
358,A358,Airbus A350-800
359,A359,Airbus A350-900
351,A35K,Airbus A350-1000
388,A388,Airbus A380-800
38F,,Airbus A380
703,B703,Boeing 707-300
707,,Boeing 707/720
70F,B703,Boeing 707
70M,B703,Boeing 707
717,B712,Boeing 717
721,B721,Boeing 727-100
722,B722,Boeing 727-200
727,,Boeing 727
72B,B721,Boeing 727-100
72C,B722,Boeing 727-200
72F,,Boeing 727
72M,,Boeing 727
72S,B722,Boeing 727-200
72X,B721,Boeing 727-100
72Y,B722,Boeing 727-200
731,B731,Boeing 737-100
732,B732,Boeing 737-200
733,B733,Boeing 737-300
73C,B733,Boeing 737-300
734,B734,Boeing 737-400
735,B735,Boeing 737-500
736,B736,Boeing 737-600
737,,Boeing 737
738,B738,Boeing 737-800
739,B739,Boeing 737-900
73F,,Boeing 737
73G,B737,Boeing 737-700
73H,B738,Boeing 737-800
73M,B732,Boeing 737-200
73W,B737,Boeing 737-700
73X,B732,Boeing 737-200
73Y,B733,Boeing 737-300
741,B741,Boeing 747-100
742,B742,Boeing 747-200
743,B743,Boeing 747-300
744,B744,Boeing 747-400
747,,Boeing 747
74H,B748,Boeing 747-8i
74C,B742,Boeing 747-200
74D,B743,Boeing 747-300
74E,B744,Boeing 747-400
74F,,Boeing 747
74J,B744,Boeing 747-400
74L,N74S,Boeing 747SP
74M,,Boeing 747
74R,B74R,Boeing 747SR
74T,B741,Boeing 747-100
74U,B743,Boeing 747-300
74V,B74R,Boeing 747SR
74X,B742,Boeing 747-200
74Y,B744,Boeing 747-400
752,B752,Boeing 757-200
75L,B752,Boeing 757-200
753,B753,Boeing 757-300
75T,,Boeing 757-300
75W,,Boeing 757-200
757,,Boeing 757
75F,B752,Boeing 757
75M,B752,Boeing 757
